SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,2
CANBK,Canara Bank,EQ,23-DEC-2002,2
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2
CANHLIFE,Canara HSBC Life Insurance Company Limited,EQ,17-OCT-2025,10
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,2
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10
CAPILLARY,Capillary Technologies India Limited,EQ,21-NOV-2025,2
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-FEB-2024,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10
CARRARO,Carraro India Limited,EQ,30-DEC-2024,10
CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5
CCCL,Consolidated Construction Consortium Limited,BE,15-OCT-2007,2
CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-FEB-2015,2
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10
CEIGALL,Ceigall India Limited,EQ,08-AUG-2024,5
CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10
CELLO,Cello World Limited,EQ,06-NOV-2023,5
CEMPRO,Cemindia Projects Limited,EQ,10-FEB-1999,1
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10
CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1
CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5
CEREBRAINT,Cerebra Integrated Technologies Limited,BZ,26-JUN-2013,10
CESC,CESC Limited,EQ,08-FEB-1995,1
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024,5
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10
CHEMBOND,Chembond Material Technologies Limited,EQ,20-NOV-2019,5
CHEMBONDCH,Chembond Chemicals Limited,EQ,23-JUL-2025,5
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5
