,1MHLP,1MHLP,1MHLP,1WHLP,1WHLP,1WHLP,1YHLP,1YHLP,1YHLP,3MHLP,3MHLP,3MHLP,52WHLP,52WHLP,52WHLP,52WH_P,52WH_P,52WH_P,52WL_P,52WL_P,52WL_P,6MHLP,6MHLP,6MHLP,SIG,SIG,SIG,SMA20_2_200P,SMA20_2_200P,SMA20_2_200P,close,close,close
symbol,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-02,9.276595744680929,0.0,38.76146788990818,28.385416666666835,0.0,73.79912663755455,44.46859378396001,0.0,9.304143862392477,44.56578263130528,0.0,18.94618834080716,65.74550128534706,0.0,24.76586888657646,8.589154782048176,53.37644387402507,8.162113343869944,22.002365845789875,0.0,3.0138027098898257,65.74550128534706,0.0,12.632696390658152,0.0,0.0,0.0,6.642603438797464,-5.361120023189969,-4.689174705251876,567.25,944.5,406.75
2025-09-03,20.34042553191497,0.9201886617959905,72.50673854447429,62.23958333333343,0.9758728913299378,100.0,47.29406650728103,0.9201886617959905,13.213448006254872,51.32605304212172,0.9201886617959905,30.15695067264574,69.92287917737792,0.9201886617959905,35.1716961498439,7.541696881798397,52.88527988942639,7.033190336419051,23.400365630712983,1.0534674430915876,4.2801063695074015,69.92287917737792,0.9201886617959905,17.940552016985116,0.0,0.0,0.0,6.3260185995088385,-8.02065237205237,-4.6814622581842915,573.75,954.45,411.75
2025-09-04,10.06825938566568,1.5490613150836956,94.87870619946067,49.37238493723907,57.95847750865056,100.0,44.664203434036104,1.5490613150836956,16.458170445660638,45.03380135205416,1.5490613150836956,39.4618834080717,66.03470437018,1.5490613150836956,43.808532778355826,8.51663846587703,52.54961003060519,6.096184240234816,22.09915044628456,1.7734250926416093,5.331138406989985,66.03470437018,1.5490613150836956,22.346072186836473,0.0,0.0,0.0,5.989329749153111,-10.631372808999835,-4.60539746049892,567.7,961.25,415.9
2025-09-05,8.361774744027455,1.7478960510496604,48.787061994609196,41.00418410041902,100.0,43.000000000000306,44.229515322755944,1.7478960510496604,9.773260359655984,43.9937597503901,1.7478960510496604,20.291479820627845,65.3920308483291,1.7478960510496604,26.0145681581686,8.677785835146228,52.44347911936026,8.02664258297583,21.88407355629639,2.001058761249336,3.1657591490439403,65.3920308483291,1.7478960510496604,13.269639065817412,0.0,0.0,0.0,5.760620697315421,-13.265480510230306,-4.593755070546989,566.7,963.4,407.35
2025-09-08,15.165031222123085,1.988347359659669,49.8652291105121,67.29857819905156,100.0,16.915422885572102,45.79439252336447,1.988347359659669,9.92963252541047,47.73790951638065,1.988347359659669,20.739910313901362,67.70565552699227,1.988347359659669,26.43080124869927,8.097655305777133,52.31513476157568,7.981485662677798,22.658350360253785,2.2763366860772893,3.216411295428641,67.70565552699227,1.988347359659669,13.481953290870477,0.0,0.0,0.0,5.475972113620929,-15.923073172638416,-4.5977817105009695,570.3,966.0,407.55
2025-09-09,10.347903657448816,1.9097382779987033,63.34231805929915,12.76595744680827,96.04651162790687,41.79104477611948,44.620734622908074,1.9097382779987033,11.884284597341667,44.92979719188773,1.9097382779987033,26.34529147982065,65.9704370179949,1.9097382779987033,31.63371488033299,8.532753202803955,52.35709349392833,7.417024158952352,22.077642757285737,2.186341979883534,3.849563125237429,65.9704370179949,1.9097382779987033,16.13588110403396,0.0,0.0,0.0,5.2975359353225695,-18.534967329941416,-4.597273940677478,567.6,965.15,410.05
2025-09-10,9.009812667261484,1.979099232405436,79.51482479784362,2.1276595744677764,99.53488372093013,68.85245901639374,44.294718539447956,1.979099232405436,14.229867083659103,44.149765990639686,1.979099232405436,33.07174887892379,65.48843187660673,1.979099232405436,37.877211238293455,8.653613729755852,52.32007108302893,6.739670354481817,21.916335089794607,2.2657490735839043,4.609345321007974,65.48843187660673,1.979099232405436,19.320594479830138,0.0,0.0,0.0,5.037341774750443,-21.215431018506717,-4.572983164479068,566.85,965.9,413.05
2025-09-11,0.0,2.154813650235823,90.29649595687326,0.0,100.0,90.0584795321641,41.49098022169093,2.154813650235823,15.79358874120406,37.4414976599064,2.154813650235823,37.556053811659226,61.343187660668384,2.154813650235823,42.039542143600436,9.693014261542178,52.22628097541712,6.28810115150146,20.5290891493709,2.466913710958174,5.115866784855005,61.343187660668384,2.154813650235823,21.443736730360925,0.0,0.0,0.0,4.729543358364686,-23.82271044507855,-4.519228124427569,560.4,967.8,415.05
2025-09-12,0.3154574132491631,2.123498183850233,83.28840970350393,1.515151515151289,92.3664122137404,74.85380116959077,41.556183438382945,2.108573013964668,14.777169663799828,37.59750390015599,2.108573013964668,34.64125560538117,61.43958868894601,2.108573013964668,39.33402705515087,9.6688421561518,52.25096258268338,6.581621133438695,20.56135068286912,2.4139756484912605,4.786627833354432,61.43958868894601,2.108573013964668,20.063694267515903,0.0,0.0,0.0,4.501037691394138,-26.472159984549215,-4.4525891150343,560.55,967.3,413.75
2025-09-15,17.560462670872788,2.1120164840310904,77.3584905660375,84.34343434343477,82.95454545454537,68.83116883116834,45.120625950880246,2.0854526958290904,13.917122752150085,44.36090225563909,2.0854526958290904,32.17488789237663,66.70951156812342,2.0854526958290904,37.04474505723199,8.347433728144381,52.263303386316515,6.829984195077896,22.32498118077213,2.3875066172578037,4.5080410282385595,66.70951156812342,2.0854526958290904,18.895966029723947,0.0,0.0,0.0,4.363241655655037,-29.159244063570345,-4.366505096209653,568.75,967.05,412.65
